date,net_daily_pnl,gross_exposure,active_pairs,fold_id,active_pairs_possible,cumulative_pnl,equity,daily_return,gross_exposure_pct
2025-11-12,-2.0,10000.0,1,1,5,-498.0014289183293,99501.99857108167,-2e-05,0.1
2025-11-13,-13.717534278041079,10000.0,1,1,5,-511.71896319637034,99488.28103680363,-0.00013717534278041079,0.1
2025-11-14,28.765013120046376,10000.0,1,1,5,-482.95395007632396,99517.04604992368,0.00028765013120046377,0.1
2025-11-17,19.660009059432397,10000.0,1,1,5,-463.29394101689155,99536.70605898311,0.00019660009059432396,0.1
2025-11-18,-24.908493187489164,10000.0,1,1,5,-488.2024342043807,99511.79756579561,-0.00024908493187489165,0.1
2025-11-19,-12.517063729688282,10000.0,1,1,5,-500.719497934069,99499.28050206593,-0.00012517063729688282,0.1
2025-11-20,29.301569391671574,10000.0,1,1,5,-471.4179285423974,99528.5820714576,0.00029301569391671574,0.1
2025-11-21,22.01486542439023,10000.0,1,1,5,-449.4030631180072,99550.596936882,0.0002201486542439023,0.1
2025-11-24,-30.658858151774908,10000.0,1,1,5,-480.0619212697821,99519.93807873022,-0.0003065885815177491,0.1
2025-11-25,4.681783559202349,20000.0,2,1,5,-475.38013771057973,99524.61986228942,4.681783559202349e-05,0.2
2025-11-26,-25.646126384977656,20000.0,2,1,5,-501.0262640955574,99498.97373590444,-0.00025646126384977654,0.2
2025-11-28,-88.2051788281963,20000.0,2,1,5,-589.2314429237537,99410.76855707624,-0.0008820517882819629,0.2
2025-12-01,-58.28527652629188,20000.0,2,1,5,-647.5167194500456,99352.48328054996,-0.0005828527652629188,0.2
2025-12-02,-67.13625874521387,20000.0,2,1,5,-714.6529781952595,99285.34702180474,-0.0006713625874521387,0.2
2025-12-03,-65.2816597787268,20000.0,2,1,5,-779.9346379739864,99220.06536202601,-0.000652816597787268,0.2
2025-12-04,97.43504444981872,20000.0,2,1,5,-682.4995935241676,99317.50040647584,0.0009743504444981872,0.2
2025-12-05,-0.3023351783502761,20000.0,2,1,5,-682.8019287025179,99317.19807129748,-3.0233517835027613e-06,0.2
2025-12-08,-38.02710705951968,20000.0,2,1,5,-720.8290357620376,99279.17096423796,-0.0003802710705951968,0.2
2025-12-09,-140.54123875849066,10000.0,1,1,5,-861.3702745205283,99138.62972547948,-0.0014054123875849066,0.1
2025-12-10,43.46458008241505,20000.0,2,1,5,-817.9056944381132,99182.09430556188,0.0004346458008241505,0.2
