ticker_a,ticker_b,asset_class,group,subgroup,candidate_tier,overlap_days,return_corr,passes_pair_filter,n_obs,coint_stat,coint_pvalue,adf_stat,adf_pvalue,hedge_ratio,intercept,half_life_days,spread_mean,spread_std,passes_coint_filter,rank_score
IYR,RWR,equity,sector,real_estate,same_subgroup,2512,0.9777084999392224,True,2512,-1.8205409524309781,0.6196919957951432,-1.8229714324237742,0.3691181185592466,1.020155544243504,-0.11848843981251989,274.0139695254314,-1.442660249040273e-07,0.047446344047784805,False,1133.0
EFA,EWU,cross_asset,single_country__international_equity,united_kingdom__developed_ex_us,country_region,2512,0.9229194850260778,True,2512,-1.9354065175842445,0.561947484578984,-1.9358805520374696,0.31537450986144666,0.9843129477504977,0.8585160298662906,236.68358146892754,3.910368562287658e-08,0.06242617219686508,False,1134.0
GDXJ,SILJ,commodity,metals,gold__silver,related_subgroup,2512,0.9289921311983508,True,2512,-2.1361962082728776,0.45746749326247566,-2.1368638927914447,0.2299520350673061,1.0507577874353662,1.160427635267565,178.8054192679029,1.822307638121856e-08,0.14194154739379883,False,1143.0
NOBL,RDVY,equity,factor,dividend,same_subgroup,2512,0.8833444238982282,True,2512,-1.56777135472137,0.7342991379555079,-1.5637166805702634,0.501789660230003,0.7202338681988603,0.9693705265031411,180.1845437920259,-3.7964742460872e-08,0.050319354981184006,False,1144.0
FDVV,QUAL,equity,factor,quality__dividend,related_subgroup,2512,0.9150513029314369,True,2512,-1.885132539863875,0.587528043608259,-1.884778594603962,0.3392552706576041,0.9445263207167369,-1.0219615154268622,252.4107130438137,9.111538190609281e-08,0.060526568442583084,False,1150.0
FCG,IEO,commodity,energy,energy_commodity,same_subgroup,2512,0.9499616396782204,True,2512,-2.3002714909059203,0.3734173203046459,-2.331266234035647,0.16208214966088647,0.9847982529067758,-1.2219818623861092,323.4586700148088,2.4297435174958082e-08,0.1638772338628769,False,1156.0
EEM,EEMV,equity,international_equity,emerging_markets,same_subgroup,2512,0.9537406080648715,True,2512,-1.7435053431692331,0.6567356069285155,-1.7431272995913258,0.4090400632044857,1.304500530269979,-1.4525650548019229,235.77997145370634,-1.6552627357668825e-07,0.052743181586265564,False,1158.0
EEMV,EWY,cross_asset,single_country__international_equity,south_korea__emerging_markets,country_region,2512,0.8198391519195436,True,2512,-1.9393212094174441,0.5599392337832856,-1.9405657007778552,0.3132248164117791,0.3864235618995342,2.3364012819504048,237.93697922771884,7.289230552487425e-08,0.07067185640335083,False,1161.0
SKYY,TDIV,cross_asset,sector__industry,technology__cloud,sector_industry,2512,0.798285621545621,True,2512,-2.1406704391251528,0.4551355188388252,-2.1416093446535562,0.2281156149423782,0.8573990520227024,0.9846501856177836,215.4467099035545,6.833653287685593e-08,0.14014162123203278,False,1162.0
FDN,PTF,cross_asset,sector__industry,technology__internet,sector_industry,2512,0.76450843218605,True,2512,-2.1025532225794024,0.4750325718490688,-2.104236808161042,0.24281437608657525,0.5498534616688247,3.123221420723219,198.8553189634176,8.200384371548353e-08,0.13176941871643066,False,1165.0
GSIE,GSLC,commodity,metals,gold,same_subgroup,2512,0.8456147471592129,True,2512,-1.8730753059524246,0.5935976255934612,-1.871442754522218,0.3456122561720405,0.5809289808310711,0.8273845064380403,217.07229432291396,3.03717939686976e-08,0.06883684545755386,False,1167.0
IEI,SCHR,fixed_income,us_bonds,treasury,same_subgroup,2512,0.9867356855121184,True,2512,-0.841935535390461,0.9289654390825839,-0.8376739423688288,0.8078044401923434,0.9437620772903195,1.7333318479465873,174.51627330240044,2.077620564477911e-07,0.0048642526380717754,False,1167.0
IXJ,PPH,cross_asset,sector__industry,healthcare__pharmaceuticals,sector_industry,2512,0.9184776375297788,True,2512,-2.0265799339307713,0.5147365900570463,-2.0271470073727422,0.27479837082845815,0.9353742755735062,0.32395873148708176,314.2045363893972,4.100192185774176e-08,0.07511577010154724,False,1170.0
SCHP,STIP,fixed_income,inflation_linked,tips,same_subgroup,2512,0.8377465573644831,True,2512,-1.3456801708161825,0.8155256513639204,-1.3450473271360561,0.6083195899804602,0.8174742916212852,-0.4923560232121602,300.638095007865,-2.6575319722610402e-08,0.036487333476543427,False,1176.0
IJH,SCHM,equity,us_equity,mid_blend,same_subgroup,2512,0.9871847407811201,True,2512,-1.2914301279140292,0.8323066625917339,-1.2892096367263532,0.6340943458621228,1.0512153777554083,0.6047001465195931,332.72726961681485,-4.100192185774176e-08,0.03102123737335205,False,1176.0
MDY,SCHM,equity,us_equity,mid_blend,same_subgroup,2512,0.9873894681510387,True,2512,-1.1979985503864206,0.8584242534910635,-1.1954268547075801,0.6755598631552342,1.027491411065733,2.8998649770244196,330.1458140894024,-5.2770992908790504e-08,0.029899341985583305,False,1178.0
DGRO,IVE,equity,factor,same_group_corr,same_group_corr,2512,0.978198430289076,True,2512,-1.7978180096379897,0.630781387552787,-1.7976092299167334,0.38164928896176437,1.0713253582334343,-1.4848709078622022,367.9210089264507,2.7258684553999046e-07,0.04715247452259064,False,1183.0
RWR,VNQ,equity,sector,real_estate,same_subgroup,2512,0.9835808291204822,True,2512,-1.5552853847184722,0.7393882317475158,-1.5513772903928724,0.50796014921204,0.9075388660066599,0.4905498147488174,328.51045554804017,-9.567114744868377e-08,0.04147765785455704,False,1189.0
PSI,PTF,cross_asset,sector__industry,technology__semiconductors,sector_industry,2512,0.8550142071973987,True,2512,-1.8513048776237602,0.6044837145339892,-1.8486855955309336,0.35657230586046146,1.0996308324811441,-0.4852226211183863,143.33099802705368,4.7076280651481284e-08,0.11483358591794968,False,1190.0
FXI,MCHI,equity,single_country,china,same_subgroup,2512,0.9746324772976007,True,2512,-1.9071709162143284,0.5763654356092284,-1.9071381517169885,0.32871058610873966,0.8671725501958213,0.07013108908977594,288.3276871708735,6.985512612800449e-08,0.0711795762181282,False,1193.0
EPP,EWA,equity,single_country,same_group_corr,same_group_corr,2512,0.966202634336303,True,2512,-1.4792907728280955,0.7690472113699411,-1.478667130867207,0.5440367767554076,0.7899941764204104,1.292363041289848,305.783709381712,-1.822307638121856e-08,0.040642742067575455,False,1193.0
MTUM,QUAL,equity,factor,momentum__quality,related_subgroup,2512,0.8497422489322125,True,2512,-1.8392197536525041,0.6104835226809529,-1.8367022677017018,0.3623982133458842,0.9771488816733755,0.33485475410459387,181.93395626409483,9.567114744868377e-08,0.07904329150915146,False,1194.0
GDX,SIL,commodity,metals,gold__silver,related_subgroup,2512,0.925689376197979,True,2512,-2.225133250630344,0.4114431979870042,-2.2325383067905453,0.19464854002928567,1.051438809109577,-0.2617071641074329,264.6504159866339,-5.4669229143655684e-08,0.1796400249004364,False,1197.0
MTUM,XMMO,equity,factor,momentum,same_subgroup,2512,0.8623524958175873,True,2512,-1.5500785636548917,0.7414927321977718,-1.5438904830558053,0.5116985158752866,0.8078797822240564,1.4944327256234278,180.92542887684516,-6.07435879373952e-08,0.06111607328057289,False,1203.0
SOXX,TDIV,cross_asset,sector__industry,technology__semiconductors,sector_industry,2512,0.8923607441185357,True,2512,-1.8779890639597685,0.5911274024308915,-1.8782895881743427,0.3423422766602726,1.5794033936651002,-1.3494755734580037,175.91551794592854,9.11153819060928e-09,0.11091823875904083,False,1205.0
IEI,VGIT,fixed_income,us_bonds,treasury,same_subgroup,2512,0.9888702251738322,True,2512,-0.6672927139490314,0.9500536260231628,-0.6633065306191633,0.8560264604756056,0.9448803620801005,0.9063657472153395,195.89664566849208,-1.395204236587233e-07,0.0048430562019348145,False,1207.0
SOXX,XSD,equity,industry,semiconductors,same_subgroup,2512,0.959211241090887,True,2512,-1.89691274195636,0.5815718826843792,-1.8963029187550837,0.33380232831884105,1.1134022933144985,-0.7878814059165347,213.71040901067107,2.1563973007232562e-07,0.08853881061077118,False,1209.0
IEI,SHY,fixed_income,us_bonds,short_treasury__treasury,related_subgroup,2512,0.9082407458640347,True,2512,-1.1438749655943403,0.8719913031836826,-1.1431996534982012,0.6975406902427533,0.9186399615216185,0.7343667674803669,476.9930402814076,-1.1161634461132053e-07,0.028785957023501396,False,1217.0
CQQQ,TDIV,equity,sector,technology,same_subgroup,2512,0.510622883190585,True,2512,-2.1348877269404514,0.4581496949134357,-2.134821998380053,0.23074491859996443,-0.027189984734499406,3.9716399285242883,185.9058282348284,5.1632049746785924e-08,0.2500295341014862,False,1220.0
PPH,VHT,cross_asset,sector__industry,healthcare__pharmaceuticals,sector_industry,2512,0.8886841934040801,True,2512,-1.886495762695817,0.5868400766570174,-1.8862465575711558,0.33855856700379344,0.8718970854833605,-0.4254305409585335,301.30774740694415,-8.807820250922305e-08,0.08129622787237167,False,1231.0
KBWB,KRE,equity,industry,banks,same_subgroup,2512,0.9443606291330404,True,2512,-1.8497532851720715,0.6052558015377776,-1.8489867260081598,0.35642638218863654,1.2159200914158497,-0.8504455722877999,192.79574952269206,9.263396805181401e-08,0.10180023312568665,False,1235.0
GSG,PDBC,commodity,broad_commodities,broad,same_subgroup,2512,0.9500807703557836,True,2512,-1.8559094523109854,0.602189412708273,-1.8544981769965199,0.35375979712375005,0.9410210298715569,0.692662463605318,310.1349003839205,-6.8336536429569605e-09,0.07421357184648514,False,1237.0
FDVV,XMHQ,equity,factor,quality__dividend,related_subgroup,2512,0.8488765189937064,True,2512,-1.5200820373666057,0.7534111698066563,-1.5190987024803948,0.5240432195122298,0.9527971393883796,-0.5082782843251685,181.76924766167184,1.4046953822344221e-07,0.06903521716594696,False,1239.0
CQQQ,RSPT,equity,sector,technology,same_subgroup,2512,0.531473912990973,True,2512,-2.0940354855563563,0.47948539565443726,-2.093914736649401,0.24696854648167488,0.004133766465665323,3.853556783271877,191.43940925088515,-9.111538190609281e-08,0.2502999007701874,False,1241.0
SCHR,SHY,fixed_income,us_bonds,short_treasury__treasury,related_subgroup,2512,0.882196516774276,True,2512,-1.2046660779443028,0.8566749008202872,-1.2040262313663452,0.671861335103534,0.9139479074116572,-0.8031759445416213,448.43176894644415,9.870832684555353e-08,0.0343860425055027,False,1242.0
